08-05-2017,09:00,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,-14,PLN,"80.00",PLN,"1120.00"
08-05-2017,09:00,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,-14,PLN,"80.00",PLN,"1120.00"
05-05-2017,11:06,WIELTON SA,PLWELTN00012,WSE,33,PLN,"17.70",PLN,"584.10"
05-05-2017,11:05,PKN ORLEN SA,PLPKN0000018,WSE,10,PLN,"117.00",PLN,"1170.00"
04-05-2017,10:05,PEPEES,PLPEPES00018,WSE,-7,PLN,"1.32",PLN,"9.24"
04-05-2017,09:58,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,-40,PLN,"8.63",PLN,"345.20"
04-05-2017,09:56,PEPEES,PLPEPES00018,WSE,-42,PLN,"1.33",PLN,"55.86"
04-05-2017,09:56,PEPEES,PLPEPES00018,WSE,-324,PLN,"1.33",PLN,"430.92"
04-05-2017,09:46,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,83,PLN,"84.00",PLN,"6972.00"
04-05-2017,09:43,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,-66,PLN,"83.97",PLN,"5542.02"
04-05-2017,09:43,ULMA CONSTRUCCION POLSKA SA,PLBAUMA00017,WSE,-12,PLN,"83.97",PLN,"1007.64"
28-04-2017,12:04,ASSECO BUSINESS SOLUTIONS SA,PLABS0000018,WSE,6,PLN,"31.30",PLN,"187.80"
28-04-2017,12:04,ASSECO BUSINESS SOLUTIONS SA,PLABS0000018,WSE,20,PLN,"31.10",PLN,"622.00"
28-04-2017,12:04,ASSECO BUSINESS SOLUTIONS SA,PLABS0000018,WSE,6,PLN,"31.00",PLN,"186.00"
28-04-2017,11:24,PKN ORLEN SA,PLPKN0000018,WSE,10,PLN,"116.75",PLN,"1167.50"
28-04-2017,09:00,PKN ORLEN SA,PLPKN0000018,WSE,-5,PLN,"117.00",PLN,"585.00"
26-04-2017,11:15,GRUPA LOTOS SA,PLLOTOS00025,WSE,1,PLN,"61.85",PLN,"61.85"
26-04-2017,11:13,GRUPA LOTOS SA,PLLOTOS00025,WSE,4,PLN,"61.90",PLN,"247.60"
